id,title,slug,price,description,images,creationAt,updatedAt,category.id,category.name,category.slug,category.image,category.creationAt,category.updatedAt
16,Classic White Tee - Timeless Style and Comfort,classic-white-tee-timeless-style-and-comfort,73,"Elevate your everyday wardrobe with our Classic White Tee. Crafted from premium soft cotton material, this versatile t-shirt combines comfort with durability, perfect for daily wear. Featuring a relaxed, unisex fit that flatters every body type, it's a staple piece for any casual ensemble. Easy to care for and machine washable, this white tee retains its shape and softness wash after wash. Pair it with your favorite jeans or layer it under a jacket for a smart look.","['https://i.imgur.com/Y54Bt8J.jpeg', 'https://i.imgur.com/SZPDSgy.jpeg', 'https://i.imgur.com/sJv4Xx0.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
17,Classic Black T-Shirt,classic-black-t-shirt,35,"Elevate your everyday style with our Classic Black T-Shirt. This staple piece is crafted from soft, breathable cotton for all-day comfort. Its versatile design features a classic crew neck and short sleeves, making it perfect for layering or wearing on its own. Durable and easy to care for, it's sure to become a favorite in your wardrobe.","['https://i.imgur.com/9DqEOV5.jpeg', 'https://i.imgur.com/ae0AEYn.jpeg', 'https://i.imgur.com/mZ4rUjj.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
18,Sleek White & Orange Wireless Gaming Controller,sleek-white-orange-wireless-gaming-controller,69,"Elevate your gaming experience with this state-of-the-art wireless controller, featuring a crisp white base with vibrant orange accents. Designed for precision play, the ergonomic shape and responsive buttons provide maximum comfort and control for endless hours of gameplay. Compatible with multiple gaming platforms, this controller is a must-have for any serious gamer looking to enhance their setup.","['https://i.imgur.com/ZANVnHE.jpeg', 'https://i.imgur.com/Ro5z6Tn.jpeg', 'https://i.imgur.com/woA93Li.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
19,Sleek Wireless Headphone & Inked Earbud Set,sleek-wireless-headphone-inked-earbud-set,44,"Experience the fusion of style and sound with this sophisticated audio set featuring a pair of sleek, white wireless headphones offering crystal-clear sound quality and over-ear comfort. The set also includes a set of durable earbuds, perfect for an on-the-go lifestyle. Elevate your music enjoyment with this versatile duo, designed to cater to all your listening needs.","['https://i.imgur.com/yVeIeDa.jpeg', 'https://i.imgur.com/jByJ4ih.jpeg', 'https://i.imgur.com/KXj6Tpb.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
20,Sleek Comfort-Fit Over-Ear Headphones,sleek-comfort-fit-over-ear-headphones,28,"Experience superior sound quality with our Sleek Comfort-Fit Over-Ear Headphones, designed for prolonged use with cushioned ear cups and an adjustable, padded headband. Ideal for immersive listening, whether you're at home, in the office, or on the move. Their durable construction and timeless design provide both aesthetically pleasing looks and long-lasting performance.","['https://i.imgur.com/SolkFEB.jpeg', 'https://i.imgur.com/KIGW49u.jpeg', 'https://i.imgur.com/mWwek7p.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
21,Efficient 2-Slice Toaster,efficient-2-slice-toaster,48,"Enhance your morning routine with our sleek 2-slice toaster, featuring adjustable browning controls and a removable crumb tray for easy cleaning. This compact and stylish appliance is perfect for any kitchen, ensuring your toast is always golden brown and delicious.","['https://i.imgur.com/keVCVIa.jpeg', 'https://i.imgur.com/afHY7v2.jpeg', 'https://i.imgur.com/yAOihUe.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
22,Sleek Wireless Computer Mouse,sleek-wireless-computer-mouse,10,"Experience smooth and precise navigation with this modern wireless mouse, featuring a glossy finish and a comfortable ergonomic design. Its responsive tracking and easy-to-use interface make it the perfect accessory for any desktop or laptop setup. The stylish blue hue adds a splash of color to your workspace, while its compact size ensures it fits neatly in your bag for on-the-go productivity.","['https://i.imgur.com/w3Y8NwQ.jpeg', 'https://i.imgur.com/WJFOGIC.jpeg', 'https://i.imgur.com/dV4Nklf.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
24,Sleek Modern Laptop for Professionals,sleek-modern-laptop-for-professionals,97,"Experience cutting-edge technology and elegant design with our latest laptop model. Perfect for professionals on-the-go, this high-performance laptop boasts a powerful processor, ample storage, and a long-lasting battery life, all encased in a lightweight, slim frame for ultimate portability. Shop now to elevate your work and play.","['https://i.imgur.com/ItHcq7o.jpeg', 'https://i.imgur.com/55GM3XZ.jpeg', 'https://i.imgur.com/tcNJxoW.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
25,Stylish Red & Silver Over-Ear Headphones,stylish-red-silver-over-ear-headphones,39,"Immerse yourself in superior sound quality with these sleek red and silver over-ear headphones. Designed for comfort and style, the headphones feature cushioned ear cups, an adjustable padded headband, and a detachable red cable for easy storage and portability. Perfect for music lovers and audiophiles who value both appearance and audio fidelity.","['https://i.imgur.com/YaSqa06.jpeg', 'https://i.imgur.com/isQAliJ.jpeg', 'https://i.imgur.com/5B8UQfh.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
26,Sleek Mirror Finish Phone Case,sleek-mirror-finish-phone-case,27,"Enhance your smartphone's look with this ultra-sleek mirror finish phone case. Designed to offer style with protection, the case features a reflective surface that adds a touch of elegance while keeping your device safe from scratches and impacts. Perfect for those who love a minimalist and modern aesthetic.","['https://i.imgur.com/yb9UQKL.jpeg', 'https://i.imgur.com/m2owtQG.jpeg', 'https://i.imgur.com/bNiORct.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
27,Sleek Smartwatch with Vibrant Display,sleek-smartwatch-with-vibrant-display,16,"Experience modern timekeeping with our high-tech smartwatch, featuring a vivid touch screen display, customizable watch faces, and a comfortable blue silicone strap. This smartwatch keeps you connected with notifications and fitness tracking while showcasing exceptional style and versatility.","['https://i.imgur.com/LGk9Jn2.jpeg', 'https://i.imgur.com/1ttYWaI.jpeg', 'https://i.imgur.com/sPRWnJH.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,2,Electronics,electronics,https://i.imgur.com/ZANVnHE.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
28,Sleek Modern Leather Sofa,sleek-modern-leather-sofa,53,"Enhance the elegance of your living space with our Sleek Modern Leather Sofa. Designed with a minimalist aesthetic, it features clean lines and a luxurious leather finish. The robust metal legs provide stability and support, while the plush cushions ensure comfort. Perfect for contemporary homes or office waiting areas, this sofa is a statement piece that combines style with practicality.","['https://i.imgur.com/Qphac99.jpeg', 'https://i.imgur.com/dJjpEgG.jpeg', 'https://i.imgur.com/MxJyADq.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
29,Mid-Century Modern Wooden Dining Table,mid-century-modern-wooden-dining-table,24,"Elevate your dining room with this sleek Mid-Century Modern dining table, featuring an elegant walnut finish and tapered legs for a timeless aesthetic. Its sturdy wood construction and minimalist design make it a versatile piece that fits with a variety of decor styles. Perfect for intimate dinners or as a stylish spot for your morning coffee.","['https://i.imgur.com/DMQHGA0.jpeg', 'https://i.imgur.com/qrs9QBg.jpeg', 'https://i.imgur.com/XVp8T1I.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
30,Elegant Golden-Base Stone Top Dining Table,elegant-golden-base-stone-top-dining-table,66,"Elevate your dining space with this luxurious table, featuring a sturdy golden metal base with an intricate rod design that provides both stability and chic elegance. The smooth stone top in a sleek round shape offers a robust surface for your dining pleasure. Perfect for both everyday meals and special occasions, this table easily complements any modern or glam decor.","['https://i.imgur.com/NWIJKUj.jpeg', 'https://i.imgur.com/Jn1YSLk.jpeg', 'https://i.imgur.com/VNZRvx5.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
31,Modern Elegance Teal Armchair,modern-elegance-teal-armchair,25,"Elevate your living space with this beautifully crafted armchair, featuring a sleek wooden frame that complements its vibrant teal upholstery. Ideal for adding a pop of color and contemporary style to any room, this chair provides both superb comfort and sophisticated design. Perfect for reading, relaxing, or creating a cozy conversation nook.","['https://i.imgur.com/6wkyyIN.jpeg', 'https://i.imgur.com/Ald3Rec.jpeg', 'https://i.imgur.com/dIqo03c.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
32,Elegant Solid Wood Dining Table,elegant-solid-wood-dining-table,67,"Enhance your dining space with this sleek, contemporary dining table, crafted from high-quality solid wood with a warm finish. Its sturdy construction and minimalist design make it a perfect addition for any home looking for a touch of elegance. Accommodates up to six guests comfortably and includes a striking fruit bowl centerpiece. The overhead lighting is not included.","['https://i.imgur.com/4lTaHfF.jpeg', 'https://i.imgur.com/JktHE1C.jpeg', 'https://i.imgur.com/cQeXQMi.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
33,Modern Minimalist Workstation Setup,modern-minimalist-workstation-setup,49,"Elevate your home office with our Modern Minimalist Workstation Setup, featuring a sleek wooden desk topped with an elegant computer, stylish adjustable wooden desk lamp, and complimentary accessories for a clean, productive workspace. This setup is perfect for professionals seeking a contemporary look that combines functionality with design.","['https://i.imgur.com/3oXNBst.jpeg', 'https://i.imgur.com/ErYYZnT.jpeg', 'https://i.imgur.com/boBPwYW.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
34,Modern Ergonomic Office Chair,modern-ergonomic-office-chair,71,"Elevate your office space with this sleek and comfortable Modern Ergonomic Office Chair. Designed to provide optimal support throughout the workday, it features an adjustable height mechanism, smooth-rolling casters for easy mobility, and a cushioned seat for extended comfort. The clean lines and minimalist white design make it a versatile addition to any contemporary workspace.","['https://i.imgur.com/3dU0m72.jpeg', 'https://i.imgur.com/zPU3EVa.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,3,Furniture,furniture,https://i.imgur.com/Qphac99.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
35,Futuristic Holographic Soccer Cleats,futuristic-holographic-soccer-cleats,39,"Step onto the field and stand out from the crowd with these eye-catching holographic soccer cleats. Designed for the modern player, these cleats feature a sleek silhouette, lightweight construction for maximum agility, and durable studs for optimal traction. The shimmering holographic finish reflects a rainbow of colors as you move, ensuring that you'll be noticed for both your skills and style. Perfect for the fashion-forward athlete who wants to make a statement.","['https://i.imgur.com/qNOjJje.jpeg', 'https://i.imgur.com/NjfCFnu.jpeg', 'https://i.imgur.com/eYtvXS1.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,4,Shoes,shoes,https://i.imgur.com/qNOjJje.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
37,Chic Summer Denim Espadrille Sandals,chic-summer-denim-espadrille-sandals,33,"Step into summer with style in our denim espadrille sandals. Featuring a braided jute sole for a classic touch and adjustable denim straps for a snug fit, these sandals offer both comfort and a fashionable edge. The easy slip-on design ensures convenience for beach days or casual outings.","['https://i.imgur.com/9qrmE1b.jpeg', 'https://i.imgur.com/wqKxBVH.jpeg', 'https://i.imgur.com/sWSV6DK.jpeg']",2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z,4,Shoes,shoes,https://i.imgur.com/qNOjJje.jpeg,2025-11-29T01:49:03.000Z,2025-11-29T01:49:03.000Z
